 ID Command line                          Date and time       Action(s) Altered
382 dnf upgrade                           2025-06-21 19:44:39                94
381 dnf upgrade                           2025-06-19 14:12:08                59
380 dnf install wezterm                   2025-06-19 09:20:21                 1
379 dnf remove wezterm                    2025-06-19 09:17:06                 1
378 dnf upgrade                           2025-06-19 04:04:59                 2
377 dnf install contour-terminal          2025-06-18 19:17:01                 3
376 dnf upgrade                           2025-06-18 17:14:27                 2
375 dnf upgrade                           2025-06-18 00:05:07                 2
374 dnf autoremove                        2025-06-17 23:59:06                 9
373 dnf remove sway                       2025-06-17 23:58:41                19
372 dnf install sway                      2025-06-17 23:49:02                19
371 dnf remove hyprland                   2025-06-17 23:44:04                21
370 dnf install hyprland                  2025-06-17 23:33:19                21
369 dnf remove hyprland                   2025-06-17 23:29:26                30
368 dnf install hyprland                  2025-06-17 23:24:39                32
367 dnf upgrade                           2025-06-17 12:16:03                32
366 dnf remove waybar                     2025-06-17 11:35:38                 7
365 dnf install waybar                    2025-06-17 09:02:43                 7
364 dnf install fish                      2025-06-16 12:32:38                 3
363 dnf remove ghostty                    2025-06-16 12:32:13                 1
362 dnf upgrade                           2025-06-16 09:43:59                22
361 dnf install mpv                       2025-06-15 10:34:07                 4
360 dnf upgrade                           2025-06-15 08:55:32                 4
359 dnf install emacs                     2025-06-15 08:38:52                 7
358 dnf reinstall ghostty                 2025-06-15 08:21:55                 2
357 dnf install sqlite3                   2025-06-15 08:20:08                 1
356 dnf install lsd                       2025-06-15 06:58:01                 1
355 dnf install bfs                       2025-06-14 22:39:39                 1
354 dnf upgrade                           2025-06-14 21:52:21                26
353 dnf upgrade -y                        2025-06-13 07:01:56                 2
352 dnf install zsh-autosuggestions.noarc 2025-06-12 17:55:38                 1
351 dnf install zsh-syntax-highlighting.n 2025-06-12 17:36:04                 1
350 dnf upgrade -y                        2025-06-12 10:23:22                70
349 dnf upgrade -y                        2025-06-10 12:31:59                18
348 dnf remove wl-clipboard               2025-06-09 18:04:56                 1
347 dnf upgrade -y                        2025-06-09 11:58:22                70
346 dnf install wl-clipboard              2025-06-09 05:56:25                 1
345 dnf upgrade                           2025-06-08 12:32:00               178
344 dnf install kitty                     2025-06-06 00:31:29                 4
343 dnf upgrade -y                        2025-06-05 09:59:02                 4
342 dnf upgrade -y                        2025-06-04 12:27:00                 2
341 dnf install adwaita-icon-theme.noarch 2025-06-04 07:53:51                 2
340 dnf upgrade -y                        2025-06-04 07:22:54                16
339 dnf upgrade -y                        2025-06-03 09:45:08               140
338 dnf remove wezterm                    2025-06-03 00:42:24                 2
337 dnf remove foot xterm                 2025-06-03 00:01:40                 2
336 dnf upgrade -y                        2025-06-02 20:37:23                96
335 dnf install wezterm                   2025-05-31 21:40:55                 2
334 dnf upgrade -y                        2025-05-31 20:17:02                40
333 dnf upgrade -y                        2025-05-30 08:12:32                20
332 dnf remove most                       2025-05-29 09:13:48                 1
331 dnf upgrade -y                        2025-05-29 07:01:34                76
330 dnf remove tmux-powerline             2025-05-28 20:28:14                 4
329 dnf install tmux-powerline            2025-05-28 11:45:43                 4
328 dnf upgrade -y                        2025-05-28 07:47:31                91
327 dnf upgrade -y                        2025-05-27 21:48:36                 2
326 dnf upgrade -y                        2025-05-27 08:39:16                26
325 dnf upgrade -y                        2025-05-26 09:26:56                 8
324 dnf upgrade -y                        2025-05-25 04:31:02                34
323 dnf upgrade -y                        2025-05-24 19:22:36                16
322 dnf install ghostty                   2025-05-23 11:26:10                 1
321 dnf remove fish                       2025-05-23 11:24:30                 3
320 dnf upgrade -y                        2025-05-23 08:32:38                54
319 dnf upgrade -y                        2025-05-22 11:53:42                31
318 dnf remove kdissert.x86_64            2025-05-21 20:36:21                11
317 dnf install kdissert.x86_64           2025-05-21 20:35:04                11
316 dnf install minder                    2025-05-21 20:32:59                 3
315 dnf remove wezterm                    2025-05-21 17:21:31                 2
314 dnf install wezterm                   2025-05-21 17:20:14                 2
313 dnf remove wezterm                    2025-05-21 17:17:00                 2
312 dnf upgrade -y                        2025-05-21 09:48:54                58
311 dnf install perl-Image-ExifTool       2025-05-20 23:55:42                 1
310 dnf upgrade -y                        2025-05-20 23:37:46                38
309 dnf reinstall fish                    2025-05-20 09:04:33                 2
308 dnf upgrade -y                        2025-05-20 07:07:50                 6
307 dnf remove f39-backgrounds-gnome.noar 2025-05-19 12:45:06                16
306 dnf upgrade -y                        2025-05-19 11:35:34                12
305 dnf remove falkon                     2025-05-19 11:35:01                 6
304 dnf install falkon                    2025-05-19 11:32:58                 6
303 dnf install gnome-builder             2025-05-18 11:43:34                22
302 dnf install fish                      2025-05-18 07:33:48                 3
301 dnf remove ghostty                    2025-05-18 07:33:28                 1
300 dnf upgrade -y                        2025-05-18 04:34:44                74
299 dnf remove kitty-kitten kitty-shell-i 2025-05-17 22:26:51                 3
298 dnf remove kitty                      2025-05-17 22:26:03                 1
297 dnf upgrade -y                        2025-05-16 06:29:18                 6
296 dnf upgrade                           2025-05-15 08:58:01                56
295 dnf upgrade                           2025-05-14 09:04:24                55
294 dnf install wezterm                   2025-05-14 06:40:00                 2
293 dnf upgrade -y                        2025-05-13 16:30:14                46
292 dnf install f35-backgrounds-gnome.noa 2025-05-12 20:01:21                 6
291 dnf upgrade -y                        2025-05-12 08:03:56                14
290 dnf install f21-backgrounds-extras-gn 2025-05-11 17:28:14                 6
289 dnf install f41-backgrounds-gnome.noa 2025-05-11 17:12:58                 8
288 dnf upgrade                           2025-05-11 11:42:32                22
287 dnf remove anytype                    2025-05-11 11:40:59                 1
286 dnf install ./anytype-0.46.4.x86_64.r 2025-05-11 11:36:45                 1
285 dnf upgrade                           2025-05-10 20:45:57                58
284 dnf install evolution                 2025-05-09 14:34:25                 4
283 dnf upgrade -y                        2025-05-09 14:23:06                14
282 dnf install smem                      2025-05-08 20:54:09                 1
281 dnf install sudo-rs                   2025-05-08 13:46:24                 1
280 dnf upgrade -y                        2025-05-08 07:06:29                 6
279 dnf install ./sqlectron-1.38.0.x86_64 2025-05-08 07:05:29                 1
278 dnf upgrade -y                        2025-05-07 19:49:41                38
277 dnf upgrade -y                        2025-05-06 09:35:01                42
276 dnf upgrade -y                        2025-05-05 13:16:22                 2
275 dnf install ghostty                   2025-05-04 10:28:09                 1
274 dnf remove ncurses-term-6.5-5.2025012 2025-05-04 10:28:00                 3
273 dnf upgrade -y                        2025-05-04 10:09:10                 4
272 dnf upgrade -y                        2025-05-03 20:14:16               146
